id;tanggal_surat;tanggal_diterima;no_surat;no_agenda;perihal;dari;disposisi;image_url;file_url
21;2022-10-11;2022-06-27;SM/565/2024;AG/147;Perihal Surat Masuk 21;CV. XYZ;Penting;surat_masuk/images/surat_masuk_21.jpg;surat_masuk/files/surat_masuk_21.pdf
22;2022-02-09;2021-10-23;SM/586/2024;AG/316;Perihal Surat Masuk 22;PT. ABC;Segera;surat_masuk/images/surat_masuk_22.jpg;surat_masuk/files/surat_masuk_22.pdf
23;2021-12-02;2020-02-09;SM/948/2024;AG/487;Perihal Surat Masuk 23;Universitas DEF;Biasa;surat_masuk/images/surat_masuk_23.jpg;surat_masuk/files/surat_masuk_23.pdf
24;2022-06-02;2022-04-24;SM/677/2024;AG/490;Perihal Surat Masuk 24;Dinas Kesehatan;Biasa;surat_masuk/images/surat_masuk_24.jpg;surat_masuk/files/surat_masuk_24.pdf
25;2022-03-25;2022-01-19;SM/346/2024;AG/737;Perihal Surat Masuk 25;CV. XYZ;Penting;surat_masuk/images/surat_masuk_25.jpg;surat_masuk/files/surat_masuk_25.pdf
26;2020-01-23;2022-01-08;SM/719/2024;AG/117;Perihal Surat Masuk 26;Universitas DEF;Segera;surat_masuk/images/surat_masuk_26.jpg;surat_masuk/files/surat_masuk_26.pdf
27;2020-11-25;2020-12-12;SM/486/2024;AG/323;Perihal Surat Masuk 27;PT. ABC;Segera;surat_masuk/images/surat_masuk_27.jpg;surat_masuk/files/surat_masuk_27.pdf
28;2024-02-24;2021-12-23;SM/708/2024;AG/661;Perihal Surat Masuk 28;PT. ABC;Segera;surat_masuk/images/surat_masuk_28.jpg;surat_masuk/files/surat_masuk_28.pdf
29;2022-01-28;2021-01-26;SM/114/2024;AG/822;Perihal Surat Masuk 29;Dinas Kesehatan;Penting;surat_masuk/images/surat_masuk_29.jpg;surat_masuk/files/surat_masuk_29.pdf
30;2022-09-18;2024-01-05;SM/725/2024;AG/261;Perihal Surat Masuk 30;CV. XYZ;Segera;surat_masuk/images/surat_masuk_30.jpg;surat_masuk/files/surat_masuk_30.pdf
